date,platform,n
2016-03-07,mailchimp,260
2016-03-08,facebook,297
2016-03-08,mailchimp,260
2016-03-09,facebook,297
2016-03-09,mailchimp,260
2016-03-10,facebook,298
2016-03-10,mailchimp,261
2016-03-11,facebook,300
2016-03-11,mailchimp,261
2016-03-12,facebook,301
2016-03-12,mailchimp,261
2016-03-13,facebook,302
2016-03-13,mailchimp,261
2016-03-14,facebook,304
2016-03-14,mailchimp,261
2016-03-15,facebook,304
2016-03-15,mailchimp,261
2016-03-16,facebook,304
2016-03-16,mailchimp,261
2016-03-17,facebook,305
2016-03-17,mailchimp,261
2016-03-18,facebook,305
2016-03-18,mailchimp,261
2016-03-19,facebook,306
2016-03-19,mailchimp,261
2016-03-20,facebook,306
2016-03-20,mailchimp,261
2016-03-21,facebook,306
2016-03-21,mailchimp,261
2016-03-22,facebook,306
2016-03-22,mailchimp,261
2016-03-23,facebook,306
2016-03-23,mailchimp,261
2016-03-24,facebook,306
2016-03-24,mailchimp,261
2016-03-25,facebook,306
2016-03-25,mailchimp,261
2016-03-26,facebook,306
2016-03-26,mailchimp,261
2016-03-27,facebook,306
2016-03-27,mailchimp,261
2016-03-28,facebook,307
2016-03-28,mailchimp,261
2016-03-29,facebook,308
2016-03-29,mailchimp,261
2016-03-30,facebook,308
2016-03-30,mailchimp,261
2016-03-31,facebook,309
2016-03-31,mailchimp,261
2016-04-01,facebook,310
2016-04-01,mailchimp,261
2016-04-02,facebook,310
2016-04-02,mailchimp,261
2016-04-03,facebook,318
2016-04-03,mailchimp,261
2016-04-04,facebook,327
2016-04-04,mailchimp,268
2016-04-05,facebook,330
2016-04-05,mailchimp,268
2016-04-06,facebook,331
2016-04-06,mailchimp,268
2016-04-07,facebook,332
2016-04-07,mailchimp,268
2016-04-08,facebook,334
2016-04-08,mailchimp,268
2016-04-09,facebook,335
2016-04-09,mailchimp,268
2016-04-10,facebook,336
2016-04-10,mailchimp,268
2016-04-11,facebook,336
2016-04-11,mailchimp,268
2016-04-12,facebook,338
2016-04-12,mailchimp,268
2016-04-13,facebook,339
2016-04-13,mailchimp,268
2016-04-14,facebook,339
2016-04-14,mailchimp,268
2016-04-15,facebook,340
2016-04-15,mailchimp,268
2016-04-16,facebook,341
2016-04-16,mailchimp,268
2016-04-17,facebook,345
2016-04-17,mailchimp,268
2016-04-18,facebook,346
2016-04-18,mailchimp,268
2016-04-19,facebook,346
2016-04-19,mailchimp,268
2016-04-20,facebook,346
2016-04-20,mailchimp,268
2016-04-21,facebook,346
2016-04-21,mailchimp,268
2016-04-22,facebook,345
2016-04-22,mailchimp,268
2016-04-23,facebook,346
2016-04-23,mailchimp,268
2016-04-24,facebook,346
2016-04-24,mailchimp,269
2016-04-25,facebook,346
2016-04-25,mailchimp,269
2016-04-26,facebook,350
2016-04-26,mailchimp,269
2016-04-27,facebook,351
2016-04-27,mailchimp,269
2016-04-28,facebook,352
2016-04-28,mailchimp,269
2016-04-29,facebook,354
2016-04-29,mailchimp,269
2016-04-30,facebook,356
2016-04-30,mailchimp,269
